"","x"
"1",31
"2",26
"3",39
"4",44
"5",29.5
"6",43
"7",30.5
"8",58
"9",38
"10",43
"11",64
"12",46
"13",41.5
"14",42.5
"15",29
"16",29
"17",55
"18",34
"19",37.5
"20",30.5
"21",46
"22",40
"23",30.5
"24",41
"25",49.5
"26",28
"27",30.5
"28",40.5
"29",35.5
"30",42.5
"31",35.5
"32",38.5
"33",50
"34",36.5
"35",29.5
"36",54.5
"37",35
"38",46.5
"39",34
"40",41
"41",47
"42",29
"43",27
"44",27
"45",31.5
"46",47
"47",36
"48",41
"49",34
"50",52
"51",30
"52",48
"53",50.5
"54",34.5
"55",37
"56",30.5
"57",28
"58",35
"59",33
"60",42
"61",58.5
"62",46
"63",34.5
"64",37
"65",40
"66",35
"67",56.5
"68",52.5
"69",55
"70",27
"71",46.5
"72",67.5
"73",20.5
"74",40
"75",29.5
"76",36
"77",35
"78",59.5
"79",43
"80",62
"81",32.5
"82",45
"83",26
"84",45.5
"85",40.5
"86",53
"87",32.5
"88",44
"89",63
"90",40
"91",41.5
"92",31
"93",33.5
"94",24.5
"95",24
"96",40
"97",46.5
"98",54
"99",40
"100",31.5
"101",37.5
"102",39
"103",53.5
"104",43.5
"105",43.5
"106",38.5
"107",47
"108",25.5
"109",37
"110",43.5
"111",28.5
"112",38.5
"113",29
"114",32
"115",37.5
"116",37
"117",56.5
"118",34.5
"119",38.5
"120",24
"121",27.5
"122",70.5
"123",39
"124",31.5
"125",29
"126",38.5
"127",19
"128",32
"129",46.5
"130",41
"131",38.5
"132",30.5
"133",37.5
"134",43.5
"135",42.5
"136",35
"137",46
"138",31
"139",46
"140",48
"141",28.5
"142",57
"143",60.5
"144",49
"145",31
"146",47.5
"147",41.5
"148",46
"149",26.5
"150",47
"151",22
"152",42
"153",23
"154",44.5
"155",27
"156",38.5
"157",50
"158",38.5
"159",49
"160",49
"161",19.5
"162",54
"163",44
"164",13.5
"165",56
"166",29.5
"167",30
"168",43.5
"169",22
"170",46.5
"171",32
"172",38.5
"173",56.5
"174",45.5
"175",74.5
"176",57
"177",34
"178",43.5
"179",35
"180",30.5
"181",31
"182",35.5
"183",23
"184",25
"185",32.5
"186",23
"187",77
"188",21
"189",59
"190",27
"191",47
"192",18
"193",25.5
"194",30.5
"195",50.5
"196",26.5
"197",34
"198",28.5
"199",52
"200",70
"201",31.5
"202",35
"203",28.5
"204",36.5
"205",69
"206",29
"207",29.5
"208",38
"209",35.5
"210",55
"211",59.5
"212",27
"213",29.5
"214",51
"215",28
"216",52
"217",41
"218",42.5
"219",29
"220",28.5
"221",48.5
"222",42.5
"223",47.5
"224",23
"225",15
"226",46
"227",26
"228",42.5
"229",52.5
"230",49
"231",37
"232",51
"233",77.5
"234",32
"235",28.5
"236",59
"237",30
"238",38
"239",20
"240",36.5
"241",39
"242",56
"243",20.5
"244",38
"245",21
"246",35.5
"247",29.5
"248",27
"249",47
"250",55
"251",41
"252",29
"253",51.5
"254",64.5
"255",35
"256",22.5
"257",37.5
"258",32.5
"259",52
"260",33.5
"261",14.5
"262",25
"263",19.5
"264",48.5
"265",36
"266",37.5
"267",20.5
"268",24.5
"269",37.5
"270",24
"271",25.5
"272",25
"273",58
"274",40
"275",38.5
"276",54
"277",51.5
"278",26
"279",22
"280",51
"281",32.5
"282",27.5
"283",28.5
"284",32.5
"285",26.5
"286",29.5
"287",57
"288",39.5
"289",32.5
"290",50.5
"291",59.5
"292",42.5
"293",29
"294",22.5
"295",59.5
"296",58
"297",38
"298",24.5
"299",32
"300",33.5
"301",40.5
"302",41
"303",46
"304",33
"305",62
"306",40.5
"307",43.5
"308",34.5
"309",55.5
"310",48
"311",29.5
"312",41.5
"313",42.5
"314",41
"315",46
"316",30.5
"317",28
"318",39
"319",29.5
"320",50.5
"321",27
"322",53.5
"323",37
"324",43.5
"325",44.5
"326",25
"327",22
"328",32
"329",42
"330",33.5
"331",21
"332",38
"333",29.5
"334",36.5
"335",44.5
"336",53
"337",58.5
"338",56.5
"339",54
"340",32
"341",40.5
"342",37
"343",32.5
"344",24
"345",29
"346",53
"347",34
"348",26
"349",44.5
"350",38.5
"351",34
"352",29.5
"353",36.5
"354",29.5
"355",18.5
"356",35.5
"357",32.5
"358",18.5
"359",46.5
"360",41.5
"361",24
"362",26
"363",35
"364",43.5
"365",46
"366",33.5
"367",26
"368",35.5
"369",35.5
"370",34
"371",38
"372",41
"373",57
"374",32.5
"375",45
"376",38
"377",47
"378",39.5
"379",34.5
"380",56
"381",41.5
"382",32
"383",29
"384",32.5
"385",28.5
"386",38.5
"387",35.5
"388",25.5
"389",41
"390",44
"391",59
"392",20.5
"393",46.5
"394",29
"395",34
"396",41.5
"397",38.5
"398",33
"399",37
"400",29.5
"401",37
"402",26.5
"403",37
"404",37.5
"405",69.5
"406",38.5
"407",42
"408",36.5
"409",34.5
"410",72
"411",42.5
"412",44
"413",37
"414",32.5
"415",42.5
"416",28
"417",36.5
"418",39
"419",36.5
"420",37
"421",52
"422",25.5
"423",28.5
"424",48.5
"425",34.5
"426",51
"427",34.5
"428",34.5
"429",40
"430",52
"431",34
"432",26.5
"433",55
"434",37.5
"435",37.5
"436",52.5
"437",28.5
"438",29
"439",34
"440",40
"441",25
"442",45.5
"443",40.5
"444",47
"445",61
"446",47.5
"447",32.5
"448",27.5
"449",17
"450",52
"451",36.5
"452",33
"453",39
"454",27.5
"455",27.5
"456",41
"457",35.5
"458",40.5
"459",40
"460",30.5
"461",33
"462",39
"463",45.5
"464",32.5
"465",25
"466",27
"467",52
"468",45.5
"469",38
"470",33.5
"471",66.5
"472",31
"473",40
"474",36.5
"475",31
"476",40.5
"477",45
"478",42
"479",47.5
"480",34.5
"481",57.5
"482",39.5
"483",43
"484",39.5
"485",33.5
"486",35
"487",28.5
"488",46.5
"489",38.5
"490",27
"491",35
"492",32.5
"493",38.5
"494",46.5
"495",39.5
"496",45
"497",43
"498",24
"499",16.5
"500",26.5
"501",27.5
"502",35.5
"503",33
"504",33.5
"505",24.5
"506",48.5
"507",74.5
"508",40.5
"509",41
"510",45
"511",34.5
"512",20.5
"513",38.5
"514",39.5
"515",51.5
"516",41.5
"517",37
"518",33
"519",39.5
"520",31
"521",34.5
"522",27
"523",25
"524",65.5
"525",37
"526",37.5
"527",34
"528",44
"529",25.5
"530",20
"531",31
"532",37.5
"533",26
"534",26
"535",44
"536",33
"537",35.5
"538",36
"539",40.5
"540",45
"541",34
"542",23.5
"543",38.5
"544",32.5
"545",42.5
"546",33.5
"547",58
"548",42
"549",29.5
"550",54.5
"551",42.5
"552",39.5
"553",35.5
"554",35.5
"555",44
"556",38
"557",38
"558",15
"559",37.5
"560",54.5
"561",45.5
"562",35.5
"563",35.5
"564",29.5
"565",29.5
"566",38
"567",48.5
"568",27
"569",30.5
"570",30.5
"571",45.5
"572",27
"573",31
"574",36.5
"575",41
"576",28
"577",31
"578",37.5
"579",53
"580",65
"581",31.5
"582",33.5
"583",39.5
"584",45.5
"585",20.5
"586",43
"587",33
"588",42
"589",49
"590",30.5
"591",24
"592",36.5
"593",35
"594",31.5
"595",43.5
"596",43.5
"597",49.5
"598",32
"599",30.5
"600",40
"601",29.5
"602",28.5
"603",31
"604",42.5
"605",26.5
"606",30
"607",31
"608",33.5
"609",48
"610",19.5
"611",41
"612",43.5
"613",41
"614",37
"615",38.5
"616",51.5
"617",30
"618",33.5
"619",34
"620",38
"621",38
"622",39
"623",59.5
"624",31
"625",41
"626",51.5
"627",20
"628",25
"629",36
"630",33
"631",35
"632",69.5
"633",30
"634",29
"635",40
"636",29
"637",37
"638",27.5
"639",42
"640",26
"641",37
"642",26.5
"643",37.5
"644",44
"645",37
"646",34
"647",30.5
"648",31.5
"649",36.5
"650",37
"651",53
"652",20
"653",47
"654",47.5
"655",37.5
"656",21.5
"657",42.5
"658",48
"659",15.5
"660",26.5
"661",26.5
"662",28.5
"663",37
"664",39
"665",32
"666",39.5
"667",41
"668",63
"669",51
"670",42.5
"671",39.5
"672",68
"673",21
"674",44
"675",30.5
"676",35
"677",49.5
"678",37.5
"679",38.5
"680",20.5
"681",35
"682",30
"683",54
"684",34
"685",28
"686",41.5
"687",32.5
"688",47.5
"689",39
"690",33.5
"691",43
"692",45
"693",26.5
"694",31.5
"695",44
"696",44
"697",46.5
"698",21.5
"699",48.5
"700",37
"701",38
"702",41.5
"703",42.5
"704",32.5
"705",42.5
"706",35
"707",75.5
"708",62
"709",46
"710",16
"711",34
"712",37
"713",45
"714",49
"715",44.5
"716",45.5
"717",27
"718",33
"719",29.5
"720",37.5
"721",42
"722",35.5
"723",37
"724",39
"725",31.5
"726",44
"727",55.5
"728",38.5
"729",39.5
"730",36.5
"731",38.5
"732",41.5
"733",30.5
"734",21.5
"735",29
"736",30
"737",52
"738",47
"739",52
"740",36
"741",31
"742",42.5
"743",68.5
"744",31.5
"745",42
"746",34.5
"747",52.5
"748",38
"749",56
"750",29.5
"751",60
"752",43
"753",33
"754",28.5
"755",36.5
"756",47
"757",48
"758",35
"759",46
"760",58.5
"761",19.5
"762",28.5
"763",30.5
"764",29.5
"765",56
"766",54.5
"767",19
"768",29
"769",23.5
"770",32
"771",36.5
"772",52
"773",35.5
"774",45.5
"775",21
"776",43.5
"777",27.5
"778",35.5
"779",41.5
"780",34.5
"781",40
"782",39
"783",32.5
"784",36.5
"785",36
"786",50
"787",30
"788",25
"789",36.5
"790",40
"791",24.5
"792",41.5
"793",63
"794",33.5
"795",33
"796",30
"797",26.5
"798",33.5
"799",39
"800",23.5
"801",36
"802",53
"803",29
"804",42
"805",39.5
"806",38.5
"807",34.5
"808",29.5
"809",41
"810",34
"811",33
"812",46.5
"813",28
"814",44.5
"815",35
"816",47.5
"817",46
"818",25
"819",44
